Ticker,Date,Open,High,Low,Close,Realised_Vol_Close_30,Realised_Vol_Close_60,Realised_Vol_Close_100,Realised_Vol_Close_180,Realised_Vol_Close_252,Vol_of_Vol_100d,Vol_of_Vol_100d_Percentile,Kurtosis_100d
PI,2021-05-07,49.0,51.75,48.869998931884766,51.58000183105469,83.05369207905167,77.2274280708875,78.49097736800607,69.00698634090197,69.2945316365346,7.29,100.0,0.02
PI,2021-05-10,50.959999084472656,50.959999084472656,46.005001068115234,46.15999984741211,88.71193010382385,77.79738101311756,80.51436098736437,70.30481033831487,70.12495570724352,7.33,100.0,0.12
PI,2021-05-11,44.22999954223633,46.709999084472656,42.66999816894531,46.15999984741211,87.32283147758025,77.81022300800798,80.4425119147543,70.28448928569287,70.1179456027382,7.37,99.0,0.21
PI,2021-05-12,45.0099983215332,45.58000183105469,42.79999923706055,43.40999984741211,88.07817674962129,78.23689932134643,81.04378561691667,70.67988524871289,70.32327272893406,7.4,100.0,0.31
PI,2021-05-13,44.29999923706055,46.40999984741211,43.150001525878906,44.36000061035156,87.17345931889653,78.39053562255226,81.11473396816437,70.71197373025166,69.86437469909824,7.42,100.0,0.44
PI,2021-05-14,45.349998474121094,47.13999938964844,44.560001373291016,46.810001373291016,88.10037218917999,79.00694401046404,81.4169540900052,70.94850783942586,69.93578950303508,7.41,100.0,0.57
PI,2021-05-17,46.040000915527344,47.290000915527344,45.31999969482422,45.790000915527344,88.16513061896558,78.1588393300301,81.18711028657968,71.01485622942954,69.96369522906565,7.3,99.0,0.72
PI,2021-05-18,46.310001373291016,47.630001068115234,46.22999954223633,46.66999816894531,88.32669643098859,77.65100349235612,81.23894788171374,70.96261014116644,69.15727389489223,7.17,99.0,0.86
PI,2021-05-19,45.5,47.400001525878906,45.130001068115234,47.400001525878906,87.87967627235288,77.67861334151974,81.15186430547371,70.95450924284536,69.14586802922925,7.02,97.0,0.99
PI,2021-05-20,47.7599983215332,49.0,47.10499954223633,48.7400016784668,87.75970778724393,77.87621280947704,80.98655220345377,70.86033281348614,69.18471616799236,6.86,94.0,1.12
PI,2021-05-21,49.72999954223633,50.0099983215332,48.220001220703125,48.86000061035156,87.77634731015448,76.23271653772404,80.82067531220822,70.85259578010813,69.18391514940821,6.69,93.0,1.24
PI,2021-05-24,49.47999954223633,51.029998779296875,48.65999984741211,50.810001373291016,88.57472764837415,76.51730899521559,80.71991563364853,70.94618363059125,69.27954670618432,6.51,92.0,1.36
PI,2021-05-25,51.2599983215332,52.189998626708984,49.31999969482422,49.95000076293945,88.64063070363315,76.21126104408002,80.3675989089942,70.96754025995227,68.90752615135733,6.33,89.0,1.48
PI,2021-05-26,50.29999923706055,51.4900016784668,50.27000045776367,51.459999084472656,89.14592599501168,76.09135742260968,80.49023430523935,71.02429742517076,68.87133667972601,6.13,90.0,1.56
PI,2021-05-27,51.79999923706055,52.97999954223633,51.400001525878906,52.099998474121094,88.73443735683158,75.17701525105541,80.46218924822942,70.85210761650693,68.24713097463237,5.92,89.0,1.58
