Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank
AXON,760.79,760.0,758.34,774.21,"4,665",0.0,3.94,47.23,56.35,15.16,9.57,20.67,29.98,"45,587",0.58,1.76,,160 of 371,190 of 371
MKSI,116.38,115.54,114.89,118.21,"1,124",0.0,7.47,49.24,129.74,14.69,122.76,-29.75,59.21,"3,739",-2.58,-5.77,,260 of 371,314 of 371
RH,222.83,218.7,215.68,226.5,"15,523",0.0,-4.36,63.69,82.8,4.19,-21.4,-6.14,12.18,"103,104",2.08,10.88,,92 of 371,136 of 371
INDI,3.87,3.93,3.82,4.02,"2,104",0.0,-4.44,77.84,106.7,7.29,8.26,-46.75,-32.99,"116,797",1.55,2.41,,217 of 371,127 of 371
ABBV,217.61,219.6,214.31,219.6,"13,895",0.0,3.42,23.99,232.03,-0.44,713.01,-38.33,-41.01,"340,123",2.72,3.66,,102 of 371,81 of 371
EQT,49.98,50.81,49.93,51.05,"13,400",0.0,-0.54,33.77,158.07,3.78,264.08,2.97,7.77,"341,692",0.71,-0.81,,104 of 371,80 of 371
NKE,73.03,73.18,72.57,73.21,"64,015",0.0,-0.77,37.33,169.06,-0.15,335.63,-11.66,-0.47,"1,486,944",1.17,1.87,,35 of 371,23 of 371
AKAM,76.46,76.87,75.59,77.15,"3,698",0.0,-2.18,31.74,45.83,-1.7,25.09,30.35,38.04,"93,095",0.37,2.69,,175 of 371,144 of 371
PEGA,59.23,58.15,58.0,59.36,984,0.0,3.89,54.76,192.17,18.93,82.9,-6.11,-8.12,"14,091",-0.13,1.17,,272 of 371,256 of 371
CHEF,66.62,65.97,65.82,67.12,"1,042",0.0,3.08,34.26,50.86,6.74,9.69,0.19,9.57,"3,112",2.3,2.74,,269 of 371,321 of 371
EVRG,72.21,72.47,72.15,72.63,626,0.0,1.56,16.77,204.92,-6.07,719.39,9.25,16.36,"3,772",0.13,1.92,,300 of 371,313 of 371
CTO,16.58,16.71,16.52,16.73,162,0.0,-2.81,22.27,173.73,-26.82,362.48,10.2,47.27,"2,053",0.29,-1.77,,350 of 371,332 of 371
MTN,147.01,144.38,143.44,147.43,"2,976",0.0,-0.26,30.0,317.14,4.76,632.02,-20.11,37.33,"21,564",2.91,46.16,,191 of 371,233 of 371
TCOM,74.12,73.99,73.86,74.82,"11,602",0.0,2.38,39.24,105.39,14.61,175.08,172.28,196.27,"87,482",0.94,7.13,,113 of 371,150 of 371
CNX,30.08,30.06,29.76,30.42,"2,772",0.0,3.37,28.97,47.62,7.53,19.08,240.96,198.71,"36,887",0.12,0.84,,197 of 371,207 of 371
VRNT,20.31,20.33,20.3,20.33,"1,971",0.0,-0.1,49.14,87.34,22.84,50.95,-1.3,-26.15,"35,224",0.13,0.43,,223 of 371,209 of 371
BMY,46.35,46.32,46.0,46.7,"23,365",0.0,-1.86,28.53,239.94,1.44,623.27,-17.13,-4.88,"740,091",1.2,1.62,,70 of 371,43 of 371
VERX,23.96,24.13,23.36,24.33,"7,270",0.0,-3.19,49.18,78.63,20.96,3.5,256.55,386.29,"11,650",13.63,142.05,,137 of 371,272 of 371
CDLX,1.27,1.14,1.1,1.37,"8,741",0.0,29.59,132.38,175.94,17.1,-13.79,257.65,513.4,"40,202",2.18,14.63,,128 of 371,198 of 371
GVA,109.37,107.71,107.55,110.29,849,0.0,1.79,23.93,147.65,5.75,157.84,0.24,87.83,"3,336",0.36,15.07,,278 of 371,319 of 371
XOM,112.35,112.18,111.32,112.45,"119,540",0.0,1.54,20.08,186.04,2.55,588.86,206.43,93.28,"1,028,953",1.59,-1.91,,23 of 371,31 of 371
HLF,9.29,9.6,9.27,9.6,"31,746",0.0,-2.0,63.39,75.53,0.71,1.02,-33.93,-0.86,"211,676",0.59,0.26,,57 of 371,100 of 371
LUV,31.43,31.76,31.19,31.79,"27,888",0.0,1.42,37.8,187.44,-0.38,278.63,69.24,44.68,"383,361",1.85,6.23,,61 of 371,69 of 371
XERS,7.36,7.49,7.34,7.53,342,0.0,-4.17,57.54,79.39,-2.34,1.93,7.21,-21.38,"13,216",0.77,0.92,,326 of 371,258 of 371
REAL,10.0,9.76,9.76,10.35,"2,024",0.0,20.48,92.08,82.91,0.19,6.42,-63.93,27.94,"74,966",2.4,4.22,,219 of 371,160 of 371
NIO,6.49,6.45,6.42,6.83,"391,473",0.0,3.34,65.39,83.67,-6.21,-3.47,31.24,150.39,"4,518,713",1.06,4.04,,9 of 371,2 of 371
FOUR,85.96,87.78,85.61,87.92,"6,904",0.0,-1.48,46.21,68.05,0.87,29.37,-30.46,-58.97,"64,103",0.74,4.16,,140 of 371,173 of 371
MDRX,4.65,4.65,4.65,4.65,N/A,0.0,-3.13,54.85,,,,,,N/A,,,,367 of 371,367 of 371
AEIS,156.74,157.25,155.39,159.61,"1,104",0.0,1.28,36.88,69.64,4.63,53.67,-0.81,2.13,"7,031",0.1,2.67,,262 of 371,290 of 371
QD,4.36,4.29,4.28,4.36,548,0.0,3.07,51.71,77.39,11.53,-10.76,-39.18,110.77,"28,963",-0.64,-2.53,,306 of 371,220 of 371
BILL,51.58,51.21,51.04,52.53,"6,491",0.0,1.3,49.11,62.18,6.08,2.22,-12.94,-43.38,"181,715",0.64,5.69,,145 of 371,106 of 371
HOUS,7.22,7.19,7.16,7.31,"1,349",0.0,17.97,63.79,150.0,50.47,66.91,-26.96,2.74,"71,507",0.52,22.17,,249 of 371,162 of 371
BAND,16.94,16.5,16.28,17.09,628,0.0,8.66,54.26,59.94,14.72,-6.62,-7.24,-6.27,"3,447",1.29,10.48,,299 of 371,318 of 371
ALNY,461.14,464.8,454.52,466.24,"4,555",0.0,-4.35,39.7,49.37,0.88,-8.86,14.27,0.15,"21,217",0.84,8.74,,161 of 371,236 of 371
SHAK,101.14,101.76,100.63,102.21,"3,950",0.0,2.86,45.92,58.48,4.7,7.41,4.77,-31.27,"45,903",1.19,5.98,,168 of 371,189 of 371
PSEC,2.75,2.79,2.74,2.8,"12,582",0.0,-3.17,25.3,917.03,3.64,1239.81,440.7,484.94,"111,099",0.12,1.52,,106 of 371,132 of 371
DIS,115.62,116.11,115.0,116.75,"32,878",0.0,-1.49,24.88,116.22,1.01,249.49,9.5,34.28,"861,559",1.13,3.09,,56 of 371,35 of 371
FIVN,25.8,26.2,25.73,26.8,"6,427",0.0,-2.22,45.41,68.34,3.83,11.36,-5.32,91.45,"102,364",2.98,4.92,,147 of 371,137 of 371
BYND,2.8,2.61,2.6,2.82,"17,264",0.0,8.53,66.99,142.33,-0.38,6.05,-68.46,24.18,"420,942",5.18,5.27,,88 of 371,66 of 371
CMI,414.2,411.71,409.12,415.3,"6,196",0.0,4.92,24.04,216.0,9.08,576.44,-1.34,11.62,"16,105",1.46,3.92,,149 of 371,250 of 371
MIRM,74.19,74.29,73.35,74.74,455,0.0,-4.51,40.7,59.3,-25.15,15.46,-0.66,-4.21,"2,936",-0.24,0.1,,315 of 371,324 of 371
XIFR,9.85,10.02,9.78,10.1,"7,191",0.0,-0.51,47.78,794.86,7.77,1333.91,-35.69,466.67,"205,594",-0.64,2.74,,138 of 371,102 of 371
UPWK,16.79,16.92,16.72,17.29,"2,562",0.0,4.94,46.24,64.92,13.67,12.97,-58.6,-54.2,"54,472",2.95,10.18,,204 of 371,181 of 371
PSN,76.18,76.59,75.57,76.49,596,0.0,2.26,28.98,63.49,14.06,-2.62,25.47,-26.33,"16,509",-0.06,0.89,,302 of 371,248 of 371
RWT,6.14,6.3,6.12,6.3,"1,499",0.0,-0.97,30.06,663.81,15.21,1242.18,65.45,129.2,"32,776",0.56,1.84,,238 of 371,212 of 371
ATEC,15.05,15.32,15.03,15.44,"1,646",0.0,-4.75,56.52,74.4,-3.64,15.32,-15.46,-70.29,"49,038",1.71,6.08,,232 of 371,187 of 371
SHOP,147.89,144.24,142.89,148.2,"35,767",0.0,3.1,53.71,59.02,7.66,16.74,-29.04,15.07,"523,152",2.92,3.59,,50 of 371,57 of 371
ITGR,100.19,101.37,99.73,101.99,67,0.0,-5.05,27.15,42.39,-7.31,17.45,4.69,21.82,306,4.08,18.6,,358 of 371,360 of 371
PPL,35.97,36.13,35.89,36.24,"1,182",0.0,0.67,16.14,216.89,-1.86,734.76,8.94,0.85,"57,468",-0.03,5.04,,258 of 371,178 of 371
BURL,270.13,266.9,265.0,272.97,"6,849",0.0,-4.06,36.78,52.76,-4.31,25.4,-3.29,24.57,"49,273",3.13,13.9,,141 of 371,186 of 371
NVCR,12.72,12.39,12.07,12.77,"2,890",0.0,0.47,68.05,111.22,2.05,19.3,-0.14,28.27,"31,486",2.88,5.45,,195 of 371,218 of 371
LYFT,20.44,18.82,18.77,20.5,"171,750",0.0,11.15,58.24,84.24,4.66,18.87,-8.1,167.14,"930,459",10.51,20.9,,18 of 371,33 of 371
PMT,12.25,12.33,12.19,12.32,"1,922",0.0,-1.13,23.71,662.73,13.11,1025.27,-4.24,99.17,"69,834",0.01,2.22,,225 of 371,165 of 371
RCL,329.79,338.03,327.66,339.15,"14,371",0.0,-4.49,33.32,199.67,4.03,347.36,25.47,81.61,"121,976",1.59,3.77,,98 of 371,124 of 371
ARAY,1.61,1.56,1.56,1.62,370,0.0,0.62,63.49,219.55,95.46,29.61,-6.57,-27.59,"8,726",2.08,7.82,,324 of 371,283 of 371
TTEK,36.24,36.31,36.15,36.8,"4,840",0.0,3.25,26.01,90.56,3.03,70.27,-20.72,78.33,"29,433",7.84,9.54,,159 of 371,219 of 371
AR,32.47,32.56,32.35,32.88,"7,105",0.0,0.9,37.72,45.43,0.33,5.4,-10.12,-9.03,"163,807",1.11,-0.05,,139 of 371,112 of 371
NVMI,299.43,293.77,293.38,301.0,638,0.0,8.01,50.31,53.88,-0.93,6.8,25.84,-76.98,"14,957",0.05,4.47,,296 of 371,254 of 371
SHEL,71.67,71.46,71.28,71.79,"41,670",0.0,-0.35,16.73,259.36,5.43,758.96,34.15,24.57,"236,389",0.16,5.97,,45 of 371,96 of 371
QTWO,82.91,82.6,82.3,83.73,786,0.0,-1.47,39.42,46.16,0.24,-7.12,13.09,-13.25,"5,851",-0.19,1.21,,283 of 371,297 of 371
HRTG,24.09,24.51,23.93,25.68,553,0.0,1.18,62.92,86.52,-37.18,5.82,-22.98,94.72,"8,343",2.47,9.86,,305 of 371,287 of 371
COLL,34.92,37.25,34.85,37.25,80,0.0,-8.03,36.69,207.5,9.93,101.63,0.0,-2.44,367,1.1,1.38,,357 of 371,359 of 371
GTLS,199.8,199.52,199.22,199.98,"1,283",0.0,0.23,46.34,89.07,23.39,97.25,1.83,-27.23,"10,209",-0.12,-0.37,,251 of 371,279 of 371
REXR,42.85,43.5,42.66,43.52,"4,379",0.0,0.3,25.42,279.69,-4.75,637.63,0.83,68.04,"21,905",-0.25,10.22,,162 of 371,231 of 371
MSFT,515.36,508.75,507.0,515.47,"272,932",0.0,3.4,19.71,110.45,9.3,327.03,6.92,49.56,"2,442,402",1.59,2.97,,14 of 371,14 of 371
MGNI,23.73,23.94,23.33,24.24,"8,130",0.0,-2.71,56.66,106.62,10.55,31.06,-5.65,5.63,"119,619",-0.01,1.88,,132 of 371,126 of 371
TGT,88.56,90.1,88.44,90.19,"57,394",0.0,-2.58,32.5,215.52,3.0,452.81,-26.42,-23.04,"778,137",3.04,5.61,,39 of 371,41 of 371
BBAI,5.09,5.18,5.02,5.33,"446,030",0.0,6.04,107.13,128.77,13.08,21.54,271.57,889.86,"1,095,354",4.67,14.91,,6 of 371,27 of 371
CAMP,2.65,3.16,2.65,3.18,N/A,0.0,33.17,113.44,,,,,,N/A,,,,367 of 371,367 of 371
BMRN,53.14,54.25,52.94,54.39,"1,962",0.0,-4.58,27.08,41.18,-2.31,9.77,-8.53,7.27,"40,960",2.02,2.47,,224 of 371,197 of 371
CMS,71.58,71.58,71.56,72.0,"2,305",0.0,0.94,16.15,196.61,-13.57,439.83,-0.35,-9.29,"9,125",0.25,2.24,,213 of 371,281 of 371
LAB,1.37,1.3,1.29,1.37,463,0.0,7.03,70.97,134.1,55.73,58.39,10.5,22.16,"2,792",0.98,4.65,,312 of 371,325 of 371
TSLA,410.04,423.2,402.43,425.7,"1,813,847",0.0,18.18,56.18,69.51,-10.83,22.48,-43.51,59.46,"8,361,489",4.67,8.18,,1 of 371,1 of 371
WT,13.9,14.34,13.89,14.4,300,0.0,1.83,28.2,140.63,5.48,230.71,-14.29,18.58,"18,299",0.25,-0.91,,330 of 371,243 of 371
PANW,201.28,197.93,197.44,202.11,"40,014",0.0,1.89,32.56,105.37,22.92,68.27,-35.81,18.8,"798,344",1.76,2.46,,47 of 371,39 of 371
CVX,157.31,157.38,156.51,158.32,"35,159",0.0,1.59,19.03,226.16,3.84,783.24,44.84,18.43,"646,069",0.86,-0.64,,52 of 371,50 of 371
W,87.73,88.55,87.4,90.24,"15,332",0.0,1.79,62.57,85.88,1.14,28.34,-23.96,-41.88,"304,846",3.41,0.88,,93 of 371,87 of 371
IRTC,176.16,179.29,175.72,179.79,983,0.0,-5.49,47.82,66.54,0.67,10.47,28.33,139.17,"5,260",-0.02,7.7,,273 of 371,301 of 371
MTCH,37.47,37.79,37.19,37.79,"4,214",0.0,-1.94,34.43,198.72,15.74,357.18,-55.87,-79.03,"159,564",0.47,-9.68,,164 of 371,114 of 371
FE,43.59,43.73,43.58,43.92,"1,268",0.0,0.53,13.74,254.5,1.35,961.29,-4.52,-24.3,"68,980",0.04,1.54,,253 of 371,167 of 371
CDP,30.47,30.68,30.4,30.74,166,0.0,0.1,18.28,335.69,12.82,623.32,-8.79,93.02,637,0.0,7.42,,347 of 371,354 of 371
WELL,168.92,169.3,168.57,170.41,"2,122",0.0,0.04,17.93,184.53,-2.16,514.65,-21.14,28.76,"26,107",1.67,3.09,,215 of 371,224 of 371
GRPN,22.53,23.8,22.12,24.18,"12,062",0.0,-2.04,83.56,96.4,4.89,8.47,-27.32,1.99,"133,850",5.12,11.21,,109 of 371,120 of 371
MMM,156.66,158.0,155.25,158.38,"6,195",0.0,2.34,24.51,179.07,-2.29,478.53,-12.36,-7.73,"166,504",0.92,1.79,,150 of 371,111 of 371
MTSI,131.42,132.15,131.21,133.87,270,0.0,1.26,34.95,49.79,14.6,17.66,7.57,1.89,"3,453",0.35,11.14,,333 of 371,317 of 371
OKTA,90.91,90.8,89.92,91.81,"18,159",0.0,-3.13,42.9,53.59,6.26,12.58,2.24,-15.67,"244,529",1.29,3.41,,87 of 371,94 of 371
PRCH,17.66,17.5,17.34,18.14,"3,031",0.0,-5.86,108.07,118.86,27.11,40.01,29.2,35.98,"35,238",0.99,11.23,,188 of 371,208 of 371
ABR,11.67,11.76,11.55,11.8,"15,131",0.0,-1.44,35.04,315.24,12.41,455.52,-11.49,13.84,"234,464",1.77,3.28,,95 of 371,97 of 371
CMPO,19.52,19.48,19.14,19.58,"2,093",0.0,3.23,43.6,275.68,103.56,252.32,1.7,-5.76,"32,005",-0.02,0.13,,218 of 371,215 of 371
RGEN,113.74,114.24,112.73,115.72,"1,455",0.0,-4.17,45.74,52.87,0.22,0.15,3.26,4.08,"10,734",0.32,0.97,,243 of 371,277 of 371
ALRM,55.6,55.67,55.56,56.25,111,0.0,-1.17,26.66,36.66,2.03,-23.89,0.0,16.84,"1,050",0.19,1.35,,354 of 371,348 of 371
SNAP,7.46,7.27,7.29,7.64,"296,428",0.0,2.47,57.99,78.77,5.7,18.68,12.41,229.75,"2,130,266",1.59,4.17,,13 of 371,17 of 371
AVDL,15.19,15.33,14.78,15.52,"6,331",0.0,-2.57,47.09,63.59,5.36,-11.18,307.14,355.47,"50,580",0.43,5.21,,148 of 371,183 of 371
OMCL,32.26,32.13,31.81,32.39,128,0.0,-1.56,45.49,70.99,-32.83,-13.81,-15.23,29.29,"1,082",0.09,6.08,,352 of 371,346 of 371
MGPI,27.77,28.18,27.44,28.18,191,0.0,-2.18,37.26,174.42,-2.88,90.54,-4.5,18.63,"2,284",-0.35,0.48,,341 of 371,328 of 371
LPSN,0.88,0.88,0.85,0.91,"8,788",0.0,-10.88,95.4,273.7,46.26,86.42,305.91,394.54,"79,053",0.53,1.74,,127 of 371,156 of 371
NCLH,26.01,26.73,25.71,26.73,"35,683",0.0,2.52,45.43,66.39,24.72,13.62,35.81,66.71,"468,980",2.3,3.66,,51 of 371,60 of 371
MMYT,98.0,97.71,97.34,99.47,"1,062",0.0,0.11,43.2,62.29,12.19,16.04,94.15,94.86,"5,818",0.21,1.73,,265 of 371,298 of 371
CRNC,10.26,10.48,10.06,10.52,"27,294",0.0,6.43,91.56,103.24,17.9,21.95,666.04,1087.73,"53,494",0.68,10.33,,63 of 371,182 of 371
ENVX,9.14,8.25,8.23,9.15,"20,236",0.0,0.77,83.17,96.83,-10.59,-22.28,-45.21,24.06,"435,831",4.32,9.5,,77 of 371,65 of 371
JPM,308.9,307.17,307.17,309.94,"57,813",0.0,3.71,17.45,188.08,3.8,507.41,3.93,-14.29,"789,003",1.24,2.07,,38 of 371,40 of 371
TMDX,114.29,114.84,113.84,117.24,"2,998",0.0,5.55,58.56,70.07,1.43,2.23,38.73,-22.51,"37,452",0.39,5.16,,189 of 371,206 of 371
FSLY,8.76,7.86,7.84,9.1,"12,354",0.0,14.51,67.01,116.77,18.84,14.68,-67.43,672.12,"125,688",19.54,19.59,,108 of 371,121 of 371
SSRM,22.64,22.39,22.28,23.03,"3,887",0.0,6.99,53.07,101.74,24.8,13.69,-9.65,9.93,"91,964",0.78,4.38,,170 of 371,145 of 371
EYE,23.61,23.13,22.93,23.91,326,0.0,3.69,45.69,66.6,6.77,10.82,15.6,53.05,"12,274",-0.03,0.56,,327 of 371,268 of 371
BKD,7.49,7.56,7.43,7.57,"3,756",0.0,-1.71,34.02,76.28,16.8,20.92,-2.62,116.36,"37,524",-0.01,73.19,,173 of 371,205 of 371
EB,2.73,2.71,2.69,2.74,159,0.0,0.0,53.81,56.06,-2.84,-22.76,3.92,-79.24,"18,672",0.03,-0.48,,351 of 371,241 of 371
DUK,122.37,121.65,121.62,122.64,"6,779",0.0,1.65,15.57,218.43,-1.57,748.53,27.57,-42.51,"141,043",0.01,2.04,,142 of 371,119 of 371
AVGO,364.09,359.87,356.34,365.5,"237,064",0.0,8.14,37.73,145.2,-5.32,232.95,21.18,-17.86,"2,117,750",1.82,2.82,,16 of 371,18 of 371
VTR,69.85,69.77,69.57,70.01,"1,574",0.0,2.33,17.86,183.15,-5.2,686.24,15.23,-1.5,"13,130",0.35,2.55,,234 of 371,261 of 371
SOFI,27.67,27.25,26.93,27.77,"400,581",0.0,6.55,46.46,76.23,11.4,4.06,-29.43,71.43,"4,005,400",2.11,2.23,,8 of 371,5 of 371
NTNX,78.21,79.23,78.14,80.45,"3,704",0.0,3.25,34.28,51.21,23.79,16.94,-16.41,-33.32,"143,998",0.2,-2.07,,174 of 371,117 of 371
LYV,172.38,173.79,171.61,175.25,"19,179",0.0,1.22,23.04,52.37,14.59,57.58,9.36,70.12,"116,014",0.88,33.5,,83 of 371,128 of 371
NOTV,1.37,1.42,1.35,1.45,741,0.0,-14.91,105.86,139.45,-15.72,-12.26,-3.14,97.6,"4,065",0.0,12.73,,288 of 371,310 of 371
NVAX,8.08,7.98,7.88,8.15,"22,651",0.0,1.51,78.35,94.75,2.68,-9.08,8.87,-0.94,"338,100",2.63,2.85,,72 of 371,82 of 371
LCII,99.95,100.9,99.46,101.54,457,0.0,-3.32,32.97,311.53,8.61,381.47,9.86,1.11,"1,343",0.0,-11.59,,314 of 371,340 of 371
SIRI,23.44,23.34,23.32,23.75,"9,320",0.0,-3.42,37.85,224.78,-2.82,421.11,-67.97,-36.21,"445,577",2.37,3.03,,124 of 371,63 of 371
AMD,161.16,160.01,157.6,161.4,"340,766",0.0,3.43,43.24,54.16,10.27,4.28,-28.13,-50.24,"4,030,425",1.33,2.24,,11 of 371,4 of 371
MITK,9.97,10.24,9.94,10.31,485,0.0,0.3,35.54,53.98,-4.95,-6.22,232.19,174.01,"3,669",-0.19,0.58,,310 of 371,316 of 371
CAKE,56.3,56.65,56.09,56.76,"5,124",0.0,-4.75,31.82,172.42,2.9,275.57,163.04,116.84,"23,945",1.34,10.93,,156 of 371,227 of 371
TDOC,7.67,7.7,7.6,7.77,"14,409",0.0,-1.67,50.2,83.64,3.79,6.53,-1.42,39.33,"317,362",1.53,2.03,,97 of 371,84 of 371
COIN,327.02,322.89,320.96,328.44,"169,385",0.0,2.58,72.06,78.54,14.73,18.19,1.45,-37.13,"1,299,333",1.45,0.12,,19 of 371,25 of 371
ZTO,19.27,19.15,19.09,19.32,887,0.0,0.89,33.39,228.65,1.61,417.49,-72.54,-31.13,"39,463",-0.14,5.98,,277 of 371,200 of 371
PCT,13.63,13.32,13.26,13.83,"12,363",0.0,0.89,71.64,83.24,1.05,-1.01,3.68,-3.69,"341,732",0.34,1.52,,107 of 371,79 of 371
CNK,28.52,28.45,28.25,28.86,"14,261",0.0,5.59,29.89,155.41,12.38,230.61,-4.19,-2.01,"113,143",-0.19,0.35,,100 of 371,130 of 371
JOYY,62.55,62.72,62.51,63.27,705,0.0,-1.96,28.06,342.39,6.77,588.77,-24.11,-4.08,"7,001",-2.91,-1.38,,291 of 371,292 of 371
CMRC,4.71,4.63,4.63,4.78,"1,222",0.0,1.73,44.04,76.12,2.82,1.59,208.59,-22.95,"13,040",0.77,7.6,,255 of 371,262 of 371
INSG,13.02,13.34,12.92,13.94,"1,275",0.0,1.56,68.98,107.67,-4.15,4.55,-5.7,54.73,"8,632",-0.13,-2.35,,252 of 371,285 of 371
LNT,64.73,64.86,64.69,65.04,177,0.0,1.12,16.1,204.19,10.7,606.0,-1.67,-8.76,"2,450",0.04,1.87,,343 of 371,327 of 371
STWD,20.33,20.62,20.3,20.62,"10,836",0.0,-1.36,16.71,399.24,-10.05,1159.94,-4.3,65.59,"163,241",0.33,7.01,,118 of 371,113 of 371
OPK,1.38,1.38,1.37,1.4,"1,263",0.0,-2.13,36.96,109.01,59.25,12.2,-15.52,-93.86,"70,431",0.03,-8.13,,254 of 371,164 of 371
FUBO,4.36,4.36,4.19,4.47,"65,798",0.0,6.6,69.58,96.86,1.09,11.2,-31.16,66.18,"657,834",6.08,8.44,,34 of 371,48 of 371
TREE,73.74,72.56,72.22,74.15,932,0.0,1.63,68.13,84.08,8.12,6.82,41.21,-41.97,"9,188",0.87,7.29,,276 of 371,280 of 371
UPST,66.98,64.47,64.26,67.27,"74,910",0.0,-2.81,73.8,89.6,8.09,9.15,-9.51,19.56,"488,679",4.52,14.51,,31 of 371,58 of 371
HCI,178.14,180.31,175.0,181.8,739,0.0,1.93,30.98,111.25,0.16,118.85,-28.6,-37.74,"7,022",0.01,0.89,,289 of 371,291 of 371
VATE,4.75,5.08,4.67,5.16,N/A,0.0,-1.25,86.08,,,,,,N/A,,,,367 of 371,367 of 371
MOMO,7.62,7.47,7.46,7.7,"1,790",0.0,-3.3,37.78,46.07,-8.01,-13.64,6.29,-59.45,"50,579",-0.17,1.67,,230 of 371,184 of 371
CHRS,1.27,1.29,1.23,1.31,"1,028",0.0,-5.93,75.69,184.57,-26.24,27.25,27.23,-30.21,"15,289",0.72,4.68,,271 of 371,253 of 371
AG,10.79,10.54,10.41,10.85,"74,821",0.0,18.05,57.18,99.82,-0.22,45.02,27.93,69.5,"899,365",1.28,4.86,,32 of 371,34 of 371
WKC,25.42,25.37,25.11,25.56,40,0.0,-2.0,24.15,216.18,-19.26,337.74,2.56,-6.98,435,0.0,0.23,,359 of 371,358 of 371
ABNB,120.37,122.91,119.76,122.98,"23,688",0.0,-2.78,30.17,40.97,2.68,4.91,-33.09,71.57,"328,301",2.43,1.59,,69 of 371,83 of 371
ASND,194.62,196.19,193.05,197.0,"1,797",0.0,-4.08,35.21,52.77,1.72,1.69,-0.55,0.56,"10,408",2.64,4.89,,229 of 371,278 of 371
BL,54.36,54.57,54.35,54.94,"1,972",0.0,-0.42,30.08,47.34,-2.45,0.9,-1.35,63.25,"8,238",0.46,5.12,,222 of 371,288 of 371
EXPE,228.24,222.35,221.24,229.0,"7,806",0.0,4.84,31.57,131.49,-0.04,236.78,-13.9,21.8,"72,874",4.65,7.0,,133 of 371,161 of 371
WEC,110.97,110.51,110.36,111.26,503,0.0,3.17,15.1,224.05,1.54,880.07,2.03,3.29,"18,348",0.11,3.94,,309 of 371,242 of 371
LITE,168.77,163.27,162.75,171.48,"8,488",0.0,11.23,43.2,92.51,42.96,19.99,-4.62,-5.77,"85,849",3.27,15.03,,129 of 371,151 of 371
FWONK,98.93,99.81,98.85,100.46,305,0.0,-2.52,20.56,29.39,-1.46,-17.05,-22.39,-42.23,"1,515",7.29,58.81,,329 of 371,336 of 371
IQ,2.57,2.62,2.54,2.63,"10,403",0.0,-7.89,48.57,118.95,22.42,46.23,-20.91,-59.3,"858,771",0.32,0.84,,119 of 371,36 of 371
CENX,26.03,26.48,26.0,26.83,"3,397",0.0,19.73,54.97,76.65,27.69,11.48,16.94,16.66,"76,636",0.18,13.05,,179 of 371,158 of 371
VRM,27.45,25.99,25.93,27.73,N/A,0.0,8.71,65.93,,,,,,N/A,,,,367 of 371,367 of 371
VIAV,12.11,12.06,11.96,12.19,"2,904",0.0,3.64,31.56,84.63,33.11,59.28,-41.56,106.84,"17,680",27.06,47.51,,193 of 371,244 of 371
IMAX,32.75,32.53,32.48,32.95,"1,513",0.0,6.75,29.31,65.81,-38.51,36.65,42.6,6.55,"11,832",1.07,5.72,,236 of 371,271 of 371
GDS,37.2,37.69,36.19,37.88,"11,623",0.0,8.58,66.36,121.21,21.98,44.98,-10.76,-27.64,"113,374",0.4,17.73,,112 of 371,129 of 371
LAC,3.2,2.92,2.89,3.2,"17,175",0.0,12.68,58.02,94.98,13.21,11.29,59.43,516.48,"183,726",2.55,3.74,,89 of 371,105 of 371
CCL,31.24,31.52,30.71,31.53,"39,405",0.0,-1.05,37.18,63.58,5.79,21.47,-13.32,7.03,"1,393,004",1.0,2.77,,48 of 371,24 of 371
CSGS,64.77,64.88,64.54,65.71,28,0.0,-0.83,25.03,373.83,48.22,947.28,0.0,21.74,88,0.0,-3.3,,361 of 371,362 of 371
WDC,102.39,100.88,100.0,103.78,"40,512",0.0,8.3,33.32,119.12,2.95,169.57,-20.96,-11.14,"379,645",7.52,13.59,,46 of 371,71 of 371
JBLU,4.91,5.02,4.85,5.05,"37,846",0.0,-4.47,56.05,85.22,17.81,-18.89,106.29,328.8,"594,496",1.35,2.66,,49 of 371,52 of 371
NTRA,172.16,168.29,167.0,172.88,"1,511",0.0,-2.39,37.38,81.12,40.32,62.71,31.16,-31.38,"19,052",0.14,8.22,,237 of 371,240 of 371
BILI,27.08,26.95,26.6,27.63,"20,230",0.0,12.27,47.32,73.58,7.58,26.97,-29.93,-9.8,"381,372",2.58,5.71,,78 of 371,70 of 371
WB,12.7,12.5,12.48,12.92,"1,399",0.0,3.5,38.32,336.16,4.44,259.49,-18.66,-52.38,"63,473",-0.18,2.17,,246 of 371,174 of 371
EGHT,2.13,2.15,2.09,2.17,568,0.0,2.9,58.8,66.54,-0.06,-19.12,250.62,311.59,"4,212",0.1,3.18,,303 of 371,308 of 371
LI,26.17,25.34,25.32,26.43,"30,927",0.0,8.05,43.38,70.43,-1.5,-34.89,-48.85,68.56,"444,389",4.41,29.63,,59 of 371,64 of 371
DKNG,42.83,43.49,42.68,43.6,"66,227",0.0,-6.71,35.03,50.17,0.44,0.46,13.16,131.19,"692,499",3.03,6.82,,33 of 371,47 of 371
